source,stratum,state_id,normal_previous_token,swept_previous_token,swept_previous_name,argmax_action,argmax_name,argmax_equals_previous_token,argmax_changed_from_normal_token,entropy,top1_probability,top1_margin,logits,probabilities
student_dev,early,student:47:18500:55,7,2,forward_jump,2,forward_jump,True,True,2.418623651550425,0.2325170487165451,0.1221805289387703,"[-0.4439603, 0.5113338, 1.3703597, 0.3864864, 0.624931, -0.1984192, -0.8449193, -0.0350628, -0.3240927, -0.1715209, 0.610541, -0.381836, -0.7707583, -0.5482262]","[0.0378883, 0.0984883, 0.232517, 0.0869289, 0.1103365, 0.0484332, 0.025373, 0.0570279, 0.0427133, 0.0497536, 0.1087601, 0.0403168, 0.0273262, 0.0341369]"
student_dev,early,student:47:18500:55,7,3,turn_left,3,turn_left,True,True,2.3092742108185393,0.26890936493873596,0.12865719199180603,"[-0.2289947, 0.9118572, 0.5457817, 1.5627894, -0.603058, -0.6765787, -1.2345091, 0.3405617, -0.1790379, -0.1112056, 0.7008625, -0.5424645, -0.7685447, -0.8667567]","[0.0448171, 0.1402522, 0.0972579, 0.2689094, 0.0308312, 0.0286458, 0.0163966, 0.0792135, 0.0471129, 0.0504196, 0.1135732, 0.0327571, 0.0261289, 0.0236847]"
student_dev,early,student:47:18500:55,7,4,turn_right,4,turn_right,True,True,2.249269173491065,0.3132946789264679,0.18583239614963531,"[0.2619563, 0.4552168, 0.8493078, -0.6231378, 1.7486315, -0.8055949, -0.999107, 0.4708485, -0.6431048, -0.7132717, 0.54107, -0.3453087, -0.9321651, -0.5204224]","[0.0708432, 0.0859469, 0.1274623, 0.0292352, 0.3132947, 0.0243594, 0.0200736, 0.0873009, 0.0286573, 0.0267154, 0.0936517, 0.0385981, 0.0214634, 0.0323978]"
student_dev,early,student:47:18500:55,7,5,look_up,2,forward_jump,False,True,2.453017162851759,0.18677780032157898,0.05256931483745575,"[-0.4871396, 0.7919881, 1.1225134, 0.3967376, 0.1717489, 0.0148159, -0.9568684, 0.4205265, -0.2589551, -0.2341321, 0.6091198, -0.4910116, -0.6293027, -0.8851985]","[0.0373475, 0.1342085, 0.1867778, 0.0903909, 0.0721794, 0.0616962, 0.0233486, 0.092567, 0.0469203, 0.0480996, 0.1117793, 0.0372032, 0.0323982, 0.0250834]"
student_dev,early,student:47:18500:55,7,6,look_down,10,fine_turn_left,False,True,2.468667716868161,0.1697666049003601,0.04593249410390854,"[0.0059602, 0.6425787, 0.6398576, 0.5962333, 0.3006788, -0.5853774, -0.8093485, -0.3948433, -0.3376975, -0.3612052, 0.9580604, -0.3951905, -0.7846039, -0.576152]","[0.065518, 0.1238341, 0.1234976, 0.1182259, 0.0879741, 0.0362698, 0.0289919, 0.0438827, 0.0464635, 0.045384, 0.1697666, 0.0438675, 0.0297182, 0.036606]"
student_dev,early,student:47:18500:55,7,7,attack,7,attack,True,False,2.0595469527943244,0.4039826989173889,0.27881738543510437,"[0.1407907, 0.9408988, 0.4962826, 0.3582795, 0.3407313, -1.1845301, -1.7982984, 2.1126356, -0.7216914, -0.5571332, 0.1611901, -0.6241337, -0.9809569, -0.9353725]","[0.0562343, 0.1251653, 0.0802398, 0.0698965, 0.0686807, 0.0149425, 0.0080885, 0.4039827, 0.0237372, 0.0279832, 0.0573932, 0.0261697, 0.0183161, 0.0191703]"
student_dev,early,student:47:18500:55,7,8,forward_attack,1,forward,False,True,2.474973642749127,0.1820927858352661,0.04769298434257507,"[-0.3584764, 1.0271899, 0.4136119, 0.2978837, -0.0710177, -0.4693716, -0.7965389, -0.5532724, 0.4656325, -0.0088693, 0.7234925, -0.5820695, -0.3305325, -0.7290735]","[0.0455518, 0.1820928, 0.0985869, 0.087813, 0.0607222, 0.0407703, 0.0293939, 0.0374892, 0.1038512, 0.0646157, 0.1343998, 0.0364251, 0.0468426, 0.0314454]"
student_dev,early,student:47:18500:55,7,9,backward,1,forward,False,True,2.436379129192944,0.18029679358005524,0.04660649597644806,"[-0.3926322, 1.0553553, 0.7319462, 0.7562768, -0.1156875, -0.6584218, -1.1545734, 0.0838206, 0.115486, 0.136129, 0.5255098, -0.7488607, -0.7399443, -0.7843238]","[0.0423775, 0.1802968, 0.1304768, 0.1336903, 0.0558998, 0.0324866, 0.0197801, 0.0682426, 0.0704381, 0.0719073, 0.10614, 0.0296775, 0.0299433, 0.0286435]"
student_dev,early,student:47:18500:55,7,10,fine_turn_left,10,fine_turn_left,True,True,2.277087507422706,0.32367610931396484,0.20014947652816772,"[0.2743079, 0.7621132, 0.2432524, -0.0698382, 0.3075496, -0.64003, -0.919158, -0.0704821, -0.3848361, -0.659164, 1.7253997, -0.5433246, -0.7753019, -0.4969966]","[0.075842, 0.1235266, 0.0735228, 0.0537587, 0.0784054, 0.0303961, 0.0229929, 0.0537241, 0.0392326, 0.02982, 0.3236761, 0.0334824, 0.0265503, 0.03507]"
student_dev,early,student:47:18500:55,7,11,fine_turn_right,2,forward_jump,False,True,2.485402944527926,0.15134893357753754,0.014422595500946045,"[-0.2706336, 0.7556754, 0.8558203, 0.5830728, 0.3207564, -0.5231121, -1.2377995, 0.1678082, -0.2027027, -0.3763196, 0.4872473, -0.1407175, -0.7788677, -0.49411]","[0.0490644, 0.1369263, 0.1513489, 0.1152197, 0.0886348, 0.0381168, 0.0186523, 0.0760641, 0.0525132, 0.0441436, 0.1046912, 0.0558713, 0.029515, 0.0392385]"
student_dev,early,student:47:18500:55,7,12,fine_look_up,2,forward_jump,False,True,2.42454096436268,0.1750805377960205,0.00772470235824585,"[-0.2854394, 0.991662, 1.0367857, 0.6374176, 0.4937015, -0.9444379, -1.2697417, 0.3055129, -0.1897397, -0.1431357, -0.2047514, -0.4381092, -0.6397202, -0.5080162]","[0.0466662, 0.1673558, 0.1750805, 0.1174342, 0.1017137, 0.0241437, 0.0174392, 0.0842656, 0.0513529, 0.0538028, 0.0505877, 0.0400589, 0.0327447, 0.0373542]"
student_dev,early,student:47:18500:55,7,13,fine_look_down,2,forward_jump,False,True,2.483344222139924,0.13644160330295563,0.004322469234466553,"[0.2467813, 0.7226577, 0.7548503, 0.1736757, 0.4079077, -0.9543305, -1.221997, 0.3280993, -0.3153305, -0.4330088, 0.7041789, -0.3717809, -0.8374876, -0.1741442]","[0.0820909, 0.1321191, 0.1364416, 0.0763038, 0.0964432, 0.0246978, 0.0188979, 0.0890453, 0.0467922, 0.0415974, 0.1297002, 0.0442239, 0.027759, 0.0538877]"
