dataset,audit_stratum,value,timesteps,episodes,seeds,teacher_action_histogram,previous_action_histogram,next_action_histogram
bc_validation,contact_range,negative,717,4,4,"{""backward"": 17, ""fine_look_down"": 10, ""fine_look_up"": 15, ""fine_turn_left"": 12, ""fine_turn_right"": 7, ""forward"": 436, ""forward_attack"": 8, ""forward_jump"": 40, ""look_down"": 2, ""noop"": 2, ""turn_left"": 49, ""turn_right"": 119}","{""attack"": 1, ""backward"": 17, ""fine_look_down"": 8, ""fine_look_up"": 17, ""fine_turn_left"": 12, ""fine_turn_right"": 6, ""forward"": 428, ""forward_attack"": 9, ""forward_jump"": 42, ""look_down"": 1, ""look_up"": 1, ""noop"": 4, ""turn_left"": 48, ""turn_right"": 123}","{""attack"": 1, ""backward"": 17, ""fine_look_down"": 11, ""fine_look_up"": 17, ""fine_turn_left"": 12, ""fine_turn_right"": 5, ""forward"": 438, ""forward_attack"": 9, ""forward_jump"": 37, ""look_down"": 3, ""noop"": 2, ""turn_left"": 52, ""turn_right"": 113}"
bc_validation,contact_range,positive,817,4,4,"{""attack"": 69, ""backward"": 6, ""fine_look_down"": 13, ""fine_look_up"": 17, ""fine_turn_left"": 41, ""fine_turn_right"": 18, ""forward"": 352, ""forward_attack"": 29, ""forward_jump"": 96, ""look_down"": 4, ""look_up"": 9, ""noop"": 15, ""turn_left"": 53, ""turn_right"": 95}","{""attack"": 68, ""backward"": 6, ""fine_look_down"": 15, ""fine_look_up"": 15, ""fine_turn_left"": 41, ""fine_turn_right"": 19, ""forward"": 359, ""forward_attack"": 28, ""forward_jump"": 93, ""look_down"": 5, ""look_up"": 8, ""noop"": 15, ""turn_left"": 54, ""turn_right"": 91}","{""attack"": 68, ""backward"": 6, ""fine_look_down"": 12, ""fine_look_up"": 15, ""fine_turn_left"": 41, ""fine_turn_right"": 20, ""forward"": 351, ""forward_attack"": 28, ""forward_jump"": 100, ""look_down"": 3, ""look_up"": 9, ""noop"": 17, ""turn_left"": 50, ""turn_right"": 97}"
bc_validation,valid_attack_geometry,negative,1433,4,4,"{""backward"": 23, ""fine_look_down"": 18, ""fine_look_up"": 31, ""fine_turn_left"": 53, ""fine_turn_right"": 25, ""forward"": 764, ""forward_attack"": 37, ""forward_jump"": 136, ""look_down"": 6, ""look_up"": 9, ""noop"": 17, ""turn_left"": 101, ""turn_right"": 213}","{""attack"": 5, ""backward"": 23, ""fine_look_down"": 16, ""fine_look_up"": 30, ""fine_turn_left"": 53, ""fine_turn_right"": 24, ""forward"": 766, ""forward_attack"": 37, ""forward_jump"": 132, ""look_down"": 6, ""look_up"": 8, ""noop"": 19, ""turn_left"": 101, ""turn_right"": 213}","{""attack"": 3, ""backward"": 23, ""fine_look_down"": 20, ""fine_look_up"": 32, ""fine_turn_left"": 53, ""fine_turn_right"": 25, ""forward"": 760, ""forward_attack"": 37, ""forward_jump"": 137, ""look_down"": 6, ""look_up"": 9, ""noop"": 18, ""turn_left"": 101, ""turn_right"": 209}"
bc_validation,valid_attack_geometry,positive,101,3,3,"{""attack"": 69, ""fine_look_down"": 5, ""fine_look_up"": 1, ""forward"": 24, ""turn_left"": 1, ""turn_right"": 1}","{""attack"": 64, ""fine_look_down"": 7, ""fine_look_up"": 2, ""fine_turn_right"": 1, ""forward"": 21, ""forward_jump"": 3, ""look_up"": 1, ""turn_left"": 1, ""turn_right"": 1}","{""attack"": 66, ""fine_look_down"": 3, ""forward"": 29, ""noop"": 1, ""turn_left"": 1, ""turn_right"": 1}"
bc_validation,approach_dynamics,decreasing,608,4,4,"{""attack"": 18, ""backward"": 2, ""fine_look_down"": 11, ""fine_look_up"": 19, ""fine_turn_left"": 20, ""fine_turn_right"": 10, ""forward"": 370, ""forward_attack"": 19, ""forward_jump"": 43, ""look_down"": 4, ""look_up"": 4, ""noop"": 2, ""turn_left"": 44, ""turn_right"": 42}","{""attack"": 16, ""backward"": 2, ""fine_look_down"": 11, ""fine_look_up"": 18, ""fine_turn_left"": 17, ""fine_turn_right"": 8, ""forward"": 369, ""forward_attack"": 15, ""forward_jump"": 52, ""look_down"": 4, ""look_up"": 4, ""noop"": 1, ""turn_left"": 54, ""turn_right"": 37}","{""attack"": 18, ""backward"": 2, ""fine_look_down"": 16, ""fine_look_up"": 20, ""fine_turn_left"": 22, ""fine_turn_right"": 11, ""forward"": 367, ""forward_attack"": 22, ""forward_jump"": 45, ""look_down"": 3, ""look_up"": 3, ""noop"": 3, ""turn_left"": 31, ""turn_right"": 45}"
bc_validation,approach_dynamics,stable,630,4,4,"{""attack"": 44, ""backward"": 6, ""fine_look_down"": 4, ""fine_look_up"": 5, ""fine_turn_left"": 23, ""fine_turn_right"": 6, ""forward"": 341, ""forward_attack"": 11, ""forward_jump"": 62, ""look_down"": 1, ""look_up"": 2, ""noop"": 15, ""turn_left"": 31, ""turn_right"": 79}","{""attack"": 45, ""backward"": 1, ""fine_look_down"": 3, ""fine_look_up"": 5, ""fine_turn_left"": 26, ""fine_turn_right"": 7, ""forward"": 359, ""forward_attack"": 13, ""forward_jump"": 52, ""look_down"": 1, ""noop"": 14, ""turn_left"": 27, ""turn_right"": 77}","{""attack"": 40, ""backward"": 10, ""fine_look_down"": 2, ""fine_look_up"": 6, ""fine_turn_left"": 23, ""fine_turn_right"": 4, ""forward"": 332, ""forward_attack"": 9, ""forward_jump"": 66, ""look_down"": 1, ""look_up"": 4, ""noop"": 15, ""turn_left"": 38, ""turn_right"": 80}"
bc_validation,approach_dynamics,increasing,284,4,4,"{""attack"": 7, ""backward"": 15, ""fine_look_down"": 8, ""fine_look_up"": 8, ""fine_turn_left"": 10, ""fine_turn_right"": 9, ""forward"": 77, ""forward_attack"": 7, ""forward_jump"": 31, ""look_down"": 1, ""look_up"": 3, ""turn_left"": 27, ""turn_right"": 81}","{""attack"": 8, ""backward"": 20, ""fine_look_down"": 9, ""fine_look_up"": 9, ""fine_turn_left"": 10, ""fine_turn_right"": 10, ""forward"": 59, ""forward_attack"": 9, ""forward_jump"": 31, ""look_down"": 1, ""look_up"": 5, ""turn_left"": 21, ""turn_right"": 92}","{""attack"": 11, ""backward"": 11, ""fine_look_down"": 5, ""fine_look_up"": 6, ""fine_turn_left"": 8, ""fine_turn_right"": 10, ""forward"": 90, ""forward_attack"": 6, ""forward_jump"": 26, ""look_down"": 2, ""look_up"": 2, ""noop"": 1, ""turn_left"": 33, ""turn_right"": 73}"
dagger1,tree_visible,negative,916,2,2,"{""fine_turn_left"": 31, ""fine_turn_right"": 10, ""look_down"": 5, ""noop"": 135, ""turn_left"": 89, ""turn_right"": 646}","{""attack"": 499, ""noop"": 2, ""turn_right"": 415}","{""fine_turn_left"": 25, ""fine_turn_right"": 20, ""forward"": 1, ""look_down"": 5, ""noop"": 131, ""turn_left"": 89, ""turn_right"": 645}"
dagger1,tree_visible,positive,84,1,1,"{""attack"": 10, ""fine_turn_left"": 1, ""fine_turn_right"": 10, ""forward"": 6, ""noop"": 18, ""turn_left"": 19, ""turn_right"": 20}","{""turn_right"": 84}","{""attack"": 10, ""fine_turn_left"": 7, ""forward"": 5, ""noop"": 23, ""turn_left"": 19, ""turn_right"": 20}"
dagger1,contact_range,negative,0,0,0,{},{},{}
dagger1,contact_range,positive,0,0,0,{},{},{}
dagger1,valid_attack_geometry,negative,958,2,2,"{""fine_turn_left"": 31, ""fine_turn_right"": 15, ""forward"": 6, ""look_down"": 5, ""noop"": 144, ""turn_left"": 91, ""turn_right"": 666}","{""attack"": 499, ""noop"": 2, ""turn_right"": 457}","{""fine_turn_left"": 31, ""fine_turn_right"": 20, ""forward"": 6, ""look_down"": 5, ""noop"": 140, ""turn_left"": 91, ""turn_right"": 665}"
dagger1,valid_attack_geometry,positive,42,1,1,"{""attack"": 10, ""fine_turn_left"": 1, ""fine_turn_right"": 5, ""noop"": 9, ""turn_left"": 17}","{""turn_right"": 42}","{""attack"": 10, ""fine_turn_left"": 1, ""noop"": 14, ""turn_left"": 17}"
