source,stratum,state_id,intervention,argmax_action,argmax_name,policy_entropy,top1_probability,logits,probabilities,js_from_normal,argmax_changed_from_normal
student_dev,mid,student:11:18501:167,earlier_same_episode,4,turn_right,2.460858156349547,0.18930037319660187,"[-0.1052388, -0.6417007, -0.0156061, -0.5960981, 1.1958625, 0.5717202, 0.0793548, -0.2765177, -0.2204251, -1.3609201, 0.6214094, 0.0721046, 0.7961904, 0.3175509]","[0.0515336, 0.0301375, 0.056366, 0.0315437, 0.1893004, 0.1014121, 0.061981, 0.0434215, 0.0459267, 0.014681, 0.1065785, 0.0615332, 0.1269334, 0.0786512]",0.00042727083839581316,False
student_dev,mid,student:11:18501:167,foreign_diagnostic_state,4,turn_right,2.2285274669532846,0.28456738591194153,"[-0.5696636, 0.2270122, 1.2574766, -0.3892032, 1.7001264, -0.0625868, -0.7829934, -0.188821, -0.4809088, -1.1426773, 0.9894093, -0.640582, -0.2467145, -0.5282242]","[0.0294054, 0.0652259, 0.1827868, 0.0352209, 0.2845674, 0.0488257, 0.0237564, 0.0430354, 0.0321346, 0.0165795, 0.1398056, 0.0273923, 0.0406147, 0.0306496]",0.053196747372105356,False
student_dev,mid,student:11:18501:222,normal,4,turn_right,2.4108216727842424,0.2161325216293335,"[0.660664, -0.5908898, -0.410247, -1.0464115, 1.2979934, -0.4917472, -0.1362634, 0.7537094, -0.2505821, -1.6080846, 0.2784388, 0.3819722, 0.1480516, 0.2175576]","[0.1142698, 0.032688, 0.0391598, 0.020728, 0.2161325, 0.0360949, 0.0515027, 0.1254124, 0.0459391, 0.0118202, 0.077971, 0.0864763, 0.0684395, 0.0733657]",,
student_dev,mid,student:11:18501:222,zero,4,turn_right,2.172525580896789,0.37990066409111023,"[0.198784, -0.1869133, 0.3498512, -0.9752054, 1.9754064, -0.7658647, -0.4724309, 0.6028337, -0.2949297, -1.6061375, 0.4060354, 0.0984832, -0.3810843, -0.2560796]","[0.0642825, 0.0437106, 0.0747653, 0.0198717, 0.3799007, 0.0244992, 0.032854, 0.0962874, 0.0392352, 0.0105737, 0.0790862, 0.0581477, 0.0359964, 0.0407895]",0.02719664498341521,False
student_dev,mid,student:11:18501:222,earlier_same_episode,4,turn_right,2.4138454337004225,0.23108871281147003,"[0.5137138, -0.5002112, -0.3521528, -0.9378978, 1.3445572, -0.5539396, -0.1966204, 0.68816, -0.1997643, -1.4937319, 0.2069414, 0.3024288, 0.1395552, 0.2072499]","[0.1006811, 0.0365263, 0.0423552, 0.0235788, 0.2310887, 0.0346156, 0.0494827, 0.1198696, 0.0493274, 0.0135246, 0.074083, 0.0815057, 0.0692553, 0.0741058]",0.0006421563686545475,False
student_dev,mid,student:11:18501:222,foreign_diagnostic_state,4,turn_right,2.1624342014456857,0.3280312716960907,"[-0.1337957, 0.5907403, 1.0302912, -0.6783746, 1.8610849, -1.0546924, -1.1723075, 0.7979577, -0.2606299, -1.3588427, 0.5611694, -0.4008447, -0.9427833, -0.7649982]","[0.0446221, 0.0920898, 0.1429243, 0.0258846, 0.3280313, 0.0177668, 0.0157954, 0.1132935, 0.0393067, 0.0131075, 0.0894065, 0.0341642, 0.0198706, 0.0237368]",0.0635610126064699,False
student_dev,mid,student:11:18501:277,normal,4,turn_right,2.462683563916141,0.21256835758686066,"[0.2071166, -0.3198988, -0.0659178, -0.7110069, 1.2920749, 0.4469246, -0.0915632, -0.0386585, -0.4892194, -1.2596456, 0.6651895, 0.1904867, 0.3667722, 0.1559107]","[0.0718302, 0.042406, 0.0546676, 0.0286795, 0.2125684, 0.0912966, 0.0532834, 0.0561783, 0.0358008, 0.0165692, 0.1135653, 0.0706456, 0.0842645, 0.0682447]",,
student_dev,mid,student:11:18501:277,zero,4,turn_right,2.270015582512774,0.32383060455322266,"[-0.1539763, -0.1162213, 0.6088451, -0.6362113, 1.789922, 0.1501822, -0.3515353, -0.2339247, -0.5604201, -1.3369011, 0.8695654, -0.1504925, -0.11015, -0.2777623]","[0.0463547, 0.0481383, 0.0993992, 0.0286195, 0.3238306, 0.062833, 0.0380448, 0.042793, 0.0308729, 0.0142022, 0.1290067, 0.0465165, 0.0484314, 0.0409575]",0.01880062234527406,False
student_dev,mid,student:11:18501:277,earlier_same_episode,4,turn_right,2.480681832522176,0.1936618834733963,"[0.2596651, -0.3891943, -0.1320156, -0.6810566, 1.1677396, 0.383466, -0.0875497, -0.0448898, -0.4226677, -1.3827196, 0.6673965, 0.1469329, 0.4186932, 0.1442549]","[0.0781038, 0.0408203, 0.0527919, 0.0304875, 0.1936619, 0.0883972, 0.0551924, 0.0575978, 0.0394765, 0.0151145, 0.1174216, 0.0697772, 0.0915667, 0.0695906]",0.0004979337774957077,False
student_dev,mid,student:11:18501:277,foreign_diagnostic_state,4,turn_right,2.2214693212470773,0.27984973788261414,"[-0.324771, 0.5364882, 1.1752608, -0.3864003, 1.6815227, -0.2322301, -0.9739625, 0.0546074, -0.6339265, -1.1779679, 1.0574546, -0.6357148, -0.6609977, -0.7184707]","[0.0376359, 0.0890518, 0.1686779, 0.0353865, 0.2798497, 0.041285, 0.0196636, 0.0550002, 0.0276273, 0.0160348, 0.1499324, 0.0275779, 0.0268894, 0.0253876]",0.05282234565779871,False
student_dev,mid,student:11:18501:333,normal,4,turn_right,2.4145500193355316,0.2201216220855713,"[0.8538359, -0.6130081, -0.5294057, -0.8588197, 1.3156139, -0.4033113, -0.107339, 0.3638166, -0.4682234, -1.2765095, 0.2805698, 0.309335, 0.3350818, 0.2677284]","[0.1387123, 0.0319943, 0.0347841, 0.0250218, 0.2201216, 0.0394587, 0.0530496, 0.0849772, 0.0369787, 0.0164785, 0.0781896, 0.0804714, 0.0825701, 0.0771919]",,
student_dev,mid,student:11:18501:333,zero,4,turn_right,2.170818693545297,0.3893930912017822,"[0.4222476, -0.2323492, 0.2694699, -0.932793, 2.0042543, -0.5952691, -0.3962735, 0.2392131, -0.5749909, -1.2356015, 0.4598873, 0.0642781, -0.2542741, -0.1722446]","[0.0800445, 0.0415952, 0.0687038, 0.0206464, 0.3893931, 0.0289354, 0.0353063, 0.0666562, 0.0295282, 0.0152523, 0.0831148, 0.0559587, 0.0406932, 0.044172]",0.028267509688075496,False
student_dev,mid,student:11:18501:333,earlier_same_episode,4,turn_right,2.3905452665220106,0.24742364883422852,"[0.7787049, -0.4969676, -0.4011853, -1.0048889, 1.4726468, -0.2826732, -0.12913, 0.4511285, -0.5647346, -1.1374831, 0.2906142, 0.3728846, 0.2425618, 0.2513539]","[0.1236135, 0.0345182, 0.037988, 0.0207712, 0.2474236, 0.0427676, 0.0498653, 0.0890844, 0.0322565, 0.0181918, 0.0758737, 0.0823798, 0.0723139, 0.0729525]",0.0011722411941417108,False
student_dev,mid,student:11:18501:333,foreign_diagnostic_state,4,turn_right,2.18245937212001,0.3382706344127655,"[0.0832455, 0.521814, 0.9472611, -0.5969701, 1.8660727, -0.8721452, -1.1165296, 0.4334447, -0.5362657, -1.0173932, 0.6518771, -0.4322313, -0.8319657, -0.6854874]","[0.0568843, 0.0881983, 0.1349676, 0.0288123, 0.3382706, 0.0218812, 0.0171371, 0.0807387, 0.0306155, 0.018923, 0.1004491, 0.0339722, 0.0227783, 0.0263716]",0.06520915375771663,False
student_dev,late,student:11:18501:334,normal,4,turn_right,2.4382239623421094,0.2104862779378891,"[0.7968903, -0.5705984, -0.4652039, -0.7881065, 1.2540452, -0.3240217, -0.1058228, 0.1817825, -0.4496557, -1.2340571, 0.3356693, 0.2382658, 0.4036584, 0.3090523]","[0.1332551, 0.0339462, 0.0377193, 0.0273104, 0.2104863, 0.0434388, 0.0540307, 0.0720354, 0.0383103, 0.0174846, 0.0840191, 0.0762213, 0.0899302, 0.0818123]",,
student_dev,late,student:11:18501:334,zero,4,turn_right,2.2059604683702574,0.3727398216724396,"[0.3895593, -0.2079725, 0.3498246, -0.9046749, 1.944396, -0.485746, -0.377108, 0.0576385, -0.5834969, -1.1932716, 0.5345746, 0.0163969, -0.1894989, -0.1303696]","[0.0787315, 0.0433156, 0.0756645, 0.0215809, 0.3727398, 0.0328102, 0.0365754, 0.0564934, 0.0297547, 0.0161709, 0.0910182, 0.0542109, 0.0441232, 0.0468109]",0.0280489480554074,False
student_dev,late,student:11:18501:334,earlier_same_episode,4,turn_right,2.4256868708386747,0.2241777777671814,"[0.7788152, -0.5084249, -0.3896749, -0.9043888, 1.3517292, -0.1952479, -0.0858595, 0.2535814, -0.5529522, -1.1526734, 0.3731898, 0.312061, 0.3446617, 0.3075859]","[0.1264094, 0.034893, 0.0392926, 0.023484, 0.2241778, 0.0477253, 0.0532422, 0.0747607, 0.0333734, 0.0183208, 0.0842594, 0.079263, 0.0818896, 0.0789091]",0.0005130164886380967,False
student_dev,late,student:11:18501:334,foreign_diagnostic_state,4,turn_right,2.2035710644230146,0.3234409987926483,"[0.0707856, 0.5187007, 1.0015019, -0.5750734, 1.8097205, -0.7821024, -1.0889033, 0.2720979, -0.5651719, -0.9793878, 0.7317044, -0.4791349, -0.766779, -0.6410111]","[0.056831, 0.0889431, 0.1441419, 0.0297915, 0.323441, 0.0242204, 0.0178213, 0.0695047, 0.0300879, 0.0198839, 0.1100572, 0.0327912, 0.0245944, 0.0278905]",0.06554452800825239,False
student_dev,late,student:11:18501:389,normal,4,turn_right,2.3654863386642564,0.22532719373703003,"[1.1038762, -0.2088178, -0.6392567, -0.68681, 1.3488328, -0.5619915, -0.3335455, 0.3576478, -0.6321281, -1.561546, 0.3489907, 0.4353633, -0.0178792, -0.0151558]","[0.1763723, 0.0474607, 0.0308601, 0.0294269, 0.2253272, 0.033339, 0.0418954, 0.0836272, 0.0310809, 0.0122702, 0.0829063, 0.0903855, 0.0574458, 0.0576024]",,
student_dev,late,student:11:18501:389,zero,4,turn_right,2.103450187637421,0.40079307556152344,"[0.6809468, 0.2258267, 0.1951427, -0.8126466, 2.0828888, -0.733123, -0.6899519, 0.2576555, -0.780193, -1.5658854, 0.6101899, 0.2070256, -0.6986771, -0.5070053]","[0.0986426, 0.0625761, 0.0606852, 0.0221516, 0.4007931, 0.0239851, 0.0250433, 0.0645998, 0.0228823, 0.0104298, 0.0919042, 0.0614106, 0.0248257, 0.0300707]",0.03072677480180156,False
student_dev,late,student:11:18501:389,earlier_same_episode,4,turn_right,2.3531402622902062,0.23199574649333954,"[1.1211252, -0.1618434, -0.5916818, -0.755489, 1.3961766, -0.5333776, -0.3565487, 0.3726379, -0.6536472, -1.5554088, 0.3670887, 0.4765732, -0.0535066, -0.0411763]","[0.1762085, 0.0488473, 0.0317807, 0.0269789, 0.2319957, 0.0336888, 0.0402051, 0.083361, 0.0298712, 0.0121234, 0.0828997, 0.0924914, 0.0544365, 0.0551119]",0.00011481798588560321,False
student_dev,late,student:11:18501:389,foreign_diagnostic_state,4,turn_right,2.1362991693288667,0.3350619077682495,"[0.3280561, 0.9422305, 0.841375, -0.3920464, 1.9243594, -0.9864504, -1.3761683, 0.480708, -0.698998, -1.3625158, 0.8224014, -0.3217858, -1.2791266, -0.9903558]","[0.0678984, 0.125485, 0.1134464, 0.0330463, 0.3350619, 0.018238, 0.0123516, 0.0790961, 0.0243117, 0.0125214, 0.1113143, 0.0354517, 0.0136103, 0.0181669]",0.06514295806867715,False
student_dev,late,student:11:18501:444,normal,4,turn_right,2.401799702957689,0.2075912058353424,"[1.0253289, -0.0995745, -0.5496233, -1.0158713, 1.2425441, -0.4537147, -0.4333487, 0.1223952, -0.4770197, -1.4173545, 0.503837, 0.3047744, 0.1659589, 0.1160493]","[0.1670604, 0.0542418, 0.0345844, 0.0216966, 0.2075912, 0.0380656, 0.0388488, 0.0677227, 0.0371888, 0.0145221, 0.0991728, 0.081272, 0.0707382, 0.0672943]",,
student_dev,late,student:11:18501:444,zero,4,turn_right,2.1942611086009465,0.34975185990333557,"[0.6330496, 0.2843738, 0.2749947, -1.1479994, 1.8849484, -0.5877042, -0.7382116, -0.0612509, -0.6176539, -1.4185696, 0.8245779, 0.0637525, -0.4916964, -0.3787879]","[0.1000155, 0.0705731, 0.0699143, 0.0168487, 0.3497519, 0.0295053, 0.0253826, 0.0499501, 0.0286348, 0.0128547, 0.1211287, 0.0566011, 0.0324785, 0.0363607]",0.02674661023376393,False
student_dev,late,student:11:18501:444,earlier_same_episode,4,turn_right,2.4096788293413676,0.19441579282283783,"[1.0425435, -0.1190243, -0.5696533, -1.0102512, 1.1754124, -0.3966174, -0.37851, 0.0940313, -0.5143001, -1.4732455, 0.5725982, 0.3319474, 0.1711293, 0.1246381]","[0.1702266, 0.0532801, 0.0339515, 0.0218529, 0.1944158, 0.0403653, 0.0411028, 0.0659316, 0.0358838, 0.0137542, 0.1063978, 0.083641, 0.0712159, 0.0679808]",0.00024222058398457266,False
student_dev,late,student:11:18501:444,foreign_diagnostic_state,4,turn_right,2.1942611086009465,0.34975185990333557,"[0.6330496, 0.2843738, 0.2749947, -1.1479994, 1.8849484, -0.5877042, -0.7382116, -0.0612509, -0.6176539, -1.4185696, 0.8245779, 0.0637525, -0.4916964, -0.3787879]","[0.1000155, 0.0705731, 0.0699143, 0.0168487, 0.3497519, 0.0295053, 0.0253826, 0.0499501, 0.0286348, 0.0128547, 0.1211287, 0.0566011, 0.0324785, 0.0363607]",0.02674661023376393,False
student_dev,late,student:11:18501:499,normal,4,turn_right,2.3485705732859627,0.25147390365600586,"[0.9947309, -0.1237703, -0.6177703, -0.534589, 1.4579256, -0.6796174, -0.4222305, 0.436364, -0.5966972, -1.6270241, 0.2834802, 0.3709792, -0.0734921, -0.088733]","[0.158245, 0.0517096, 0.0315522, 0.034289, 0.2514739, 0.0296599, 0.0383664, 0.0905387, 0.0322242, 0.0115005, 0.077703, 0.0848083, 0.0543759, 0.0535535]",,
student_dev,late,student:11:18501:499,zero,4,turn_right,2.039790624508477,0.4317653775215149,"[0.6016904, 0.2882754, 0.2022917, -0.7187817, 2.1988263, -0.7996405, -0.7510326, 0.3317452, -0.7741027, -1.6372362, 0.5796402, 0.1847977, -0.7727324, -0.5581952]","[0.0874219, 0.0639008, 0.0586359, 0.0233425, 0.4317654, 0.0215293, 0.0226017, 0.0667398, 0.0220862, 0.0093168, 0.0855154, 0.0576191, 0.0221165, 0.0274087]",0.02997341490158702,False
student_dev,late,student:11:18501:499,earlier_same_episode,4,turn_right,2.3321733877611472,0.2633197605609894,"[0.9827569, -0.0612649, -0.5792798, -0.6346458, 1.5205885, -0.6411667, -0.4417714, 0.4351351, -0.6179488, -1.6130258, 0.301184, 0.4119138, -0.1263314, -0.1045766]","[0.1537822, 0.0541369, 0.0322494, 0.0305125, 0.2633198, 0.0303141, 0.0370034, 0.0889359, 0.0310262, 0.0114702, 0.0777862, 0.0868945, 0.0507265, 0.0518422]",0.00021717522781207916,False
student_dev,late,student:11:18501:499,foreign_diagnostic_state,4,turn_right,2.0805160896397847,0.3959760367870331,"[0.0903292, 0.6433609, 0.6573755, -0.1673506, 2.0817199, -0.8970478, -1.1906217, 0.2470292, -0.5490485, -1.3518451, 0.7737545, -0.3066027, -1.1224849, -0.9151198]","[0.0540529, 0.0939718, 0.0952981, 0.0417744, 0.395976, 0.0201375, 0.0150144, 0.0632227, 0.0285194, 0.0127788, 0.1070599, 0.0363441, 0.0160731, 0.0197769]",0.05325299704128708,False
student_dev,raycast_log,student:11:18501:17,normal,4,turn_right,2.422612565801852,0.17206703126430511,"[0.9725277, -0.4308652, -0.3490012, -0.5664979, 1.0306165, -0.8206043, -0.3866829, 0.7049637, -0.8879206, -1.2824168, 0.4820351, 0.245613, 0.0154125, 0.1597972]","[0.1623566, 0.039901, 0.0433049, 0.0348401, 0.172067, 0.0270223, 0.0417035, 0.124242, 0.0252632, 0.0170279, 0.099415, 0.0784829, 0.0623448, 0.0720287]",,
