label,feature_space,model,evaluation_split,status,majority_baseline,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,auroc,pr_auc,confusion_matrix,mae,rmse,r2
contact_range,F2_current_rgb,knn_k5,bc_train,diagnostic_only,0.5,0.9525624942630726,0.9311748718018339,0.9664483639240048,0.9525624942630726,0.9949958694122327,0.9869282098117849,"[[1300, 34], [34, 456]]",,,
contact_range,F2_current_rgb,knn_k5,bc_validation,diagnostic_only,0.5,0.625794441343214,0.5682725637312974,0.6725623286777183,0.6190371926930891,0.711650440687688,0.688412305802683,"[[513, 204], [379, 438]]",,,
contact_range,F2_current_rgb,knn_k5,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F2_current_rgb,knn_k5,student_dev,diagnostic_only,0.5,0.7379068933550227,0.5943870787700041,0.8498880408758203,0.6890297776406952,0.7996417667076742,0.8924601321851375,"[[1917, 207], [1654, 2222]]",,,
contact_range,F3_four_frame_stack,fixed_logistic,bc_train,diagnostic_only,0.5,0.8536731634182908,0.763541748776528,0.9001624285523243,0.8090169992609018,0.9148058623749349,0.7777575820594914,"[[1077, 257], [49, 441]]",,,
contact_range,F3_four_frame_stack,fixed_logistic,bc_validation,diagnostic_only,0.5,0.6163268685482315,0.4985150815882457,0.7483875213900224,0.5893034779406024,0.6686554373673798,0.5939285904777445,"[[230, 487], [72, 745]]",,,
contact_range,F3_four_frame_stack,fixed_logistic,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
contact_range,F3_four_frame_stack,fixed_logistic,student_dev,diagnostic_only,0.5,0.5473141977576044,0.5034006213206339,0.6022265542583867,0.5347157559667124,0.7111949968807029,0.8402034694966654,"[[498, 1626], [542, 3334]]",,,
contact_range,F3_four_frame_stack,knn_k5,bc_train,diagnostic_only,0.5,0.957122969127681,0.9406263433449537,0.9673859406185202,0.9574182600439121,0.9956261665085824,0.9883549642397267,"[[1304, 30], [31, 459]]",,,
contact_range,F3_four_frame_stack,knn_k5,bc_validation,diagnostic_only,0.5,0.6071059716041101,0.5056707237698516,0.6858438846103642,0.591880768700923,0.6733482533813371,0.6340165393266844,"[[545, 172], [446, 371]]",,,
contact_range,F3_four_frame_stack,knn_k5,dagger1,coverage_insufficient_for_generalization_claim,,,,,,,,,,,
